,date,CELG_adjusted_close,CELG_cumulative_return,CELG_value,FB_adjusted_close,FB_cumulative_return,FB_value,GOOG_adjusted_close,GOOG_cumulative_return,GOOG_value,NVDA_adjusted_close,NVDA_cumulative_return,NVDA_value,SPY_adjusted_close,SPY_cumulative_return,SPY_value,portfolio_cumulative_return,portfolio_value
0,2016-10-06,104.03,1.0,0.8,128.74,1.0,0.0,776.86,1.0,0.0,67.34,1.0,0.2,215.78,1.0,1.0,1.0,1.0
1,2016-10-07,104.07,1.00038,0.8003040000000001,128.99,1.00194,0.0,775.08,0.997709,0.0,66.85,0.992724,0.19854480000000002,215.04,0.996571,0.996571,0.9988488000000002,0.9988488000000002
2,2016-10-10,104.27,1.00231,0.8018480000000001,130.24,1.01165,0.0,785.94,1.01169,0.0,67.1,0.996436,0.1992872,216.16,1.00176,1.00176,1.0011352000000002,1.0011352000000002
3,2016-10-11,101.64,0.977026,0.7816208,128.88,1.00109,0.0,783.07,1.00799,0.0,66.13,0.982032,0.1964064,213.43,0.989109,0.989109,0.9780272,0.9780272
4,2016-10-12,100.1,0.962222,0.7697776000000001,129.05,1.00241,0.0,786.14,1.01195,0.0,66.43,0.986487,0.1972974,213.71,0.990407,0.990407,0.9670750000000001,0.9670750000000001
5,2016-10-13,100.63,0.967317,0.7738536,127.82,0.992854,0.0,778.19,1.00171,0.0,65.35,0.970448,0.1940896,213.01,0.987163,0.987163,0.9679432,0.9679432
6,2016-10-14,98.5,0.946842,0.7574736,127.88,0.99332,0.0,778.53,1.00215,0.0,65.99,0.979953,0.19599060000000001,213.12,0.987673,0.987673,0.9534642,0.9534642
7,2016-10-17,99.64,0.957801,0.7662408,127.54,0.990679,0.0,779.96,1.00399,0.0,65.61,0.97431,0.194862,212.38,0.984243,0.984243,0.9611028,0.9611028
8,2016-10-18,100.06,0.961838,0.7694704,128.57,0.99868,0.0,795.26,1.02369,0.0,66.61,0.98916,0.197832,213.71,0.990407,0.990407,0.9673024,0.9673024
9,2016-10-19,100.02,0.961453,0.7691624,130.11,1.01064,0.0,801.56,1.03179,0.0,66.47,0.987081,0.19741620000000001,214.28,0.993048,0.993048,0.9665786000000001,0.9665786000000001
10,2016-10-20,100.02,0.961453,0.7691624,130.0,1.00979,0.0,796.97,1.02589,0.0,67.73,1.00579,0.201158,213.88,0.991195,0.991195,0.9703204000000001,0.9703204000000001
11,2016-10-21,98.91,0.950783,0.7606264,132.07,1.02587,0.0,799.37,1.02898,0.0,67.54,1.00297,0.200594,213.98,0.991658,0.991658,0.9612204,0.9612204
12,2016-10-24,98.07,0.942709,0.7541672,133.28,1.03526,0.0,813.11,1.04666,0.0,70.71,1.05004,0.21000800000000003,214.89,0.995875,0.995875,0.9641752000000001,0.9641752000000001
13,2016-10-25,97.63,0.938479,0.7507832,132.29,1.02757,0.0,807.67,1.03966,0.0,71.87,1.06727,0.213454,214.17,0.992539,0.992539,0.9642372,0.9642372
14,2016-10-26,98.41,0.945977,0.7567816,131.04,1.01787,0.0,799.07,1.02859,0.0,72.16,1.07158,0.214316,213.74,0.990546,0.990546,0.9710976,0.9710976
15,2016-10-27,104.72,1.00663,0.805304,129.69,1.00738,0.0,795.35,1.0238,0.0,70.68,1.0496,0.20992000000000002,213.17,0.987904,0.987904,1.0152240000000001,1.0152240000000001
16,2016-10-28,103.9,0.99875,0.799,131.29,1.01981,0.0,795.37,1.02383,0.0,70.56,1.04782,0.209564,212.54,0.984985,0.984985,1.008564,1.008564
17,2016-10-31,102.18,0.982217,0.7857736000000001,130.99,1.01748,0.0,784.54,1.00989,0.0,71.16,1.05673,0.211346,212.55,0.985031,0.985031,0.9971196000000001,0.9971196000000001
18,2016-11-01,104.09,1.00058,0.8004640000000001,129.5,1.0059,0.0,783.61,1.00869,0.0,69.05,1.02539,0.205078,211.01,0.977894,0.977894,1.0055420000000002,1.0055420000000002
19,2016-11-02,102.85,0.988657,0.7909256,127.17,0.987805,0.0,768.7,0.989496,0.0,68.76,1.02109,0.204218,209.74,0.972009,0.972009,0.9951436,0.9951436
20,2016-11-03,102.35,0.983851,0.7870808,120.0,0.932111,0.0,762.13,0.981039,0.0,67.96,1.00921,0.201842,208.78,0.96756,0.96756,0.9889228,0.9889228
21,2016-11-04,103.44,0.994329,0.7954632,120.75,0.937937,0.0,762.02,0.980897,0.0,67.57,1.00342,0.200684,208.55,0.966494,0.966494,0.9961472,0.9961472
22,2016-11-07,107.49,1.03326,0.8266080000000001,122.15,0.948812,0.0,782.52,1.00729,0.0,71.27,1.05836,0.211672,213.15,0.987812,0.987812,1.03828,1.03828
23,2016-11-08,108.45,1.04249,0.833992,124.22,0.96489,0.0,790.51,1.01757,0.0,71.16,1.05673,0.211346,214.11,0.992261,0.992261,1.0453379999999999,1.0453379999999999
24,2016-11-09,120.07,1.15419,0.9233520000000001,123.18,0.956812,0.0,785.31,1.01088,0.0,69.96,1.03891,0.20778200000000002,216.38,1.00278,1.00278,1.131134,1.131134
25,2016-11-10,121.06,1.1637,0.93096,120.8,0.938325,0.0,762.56,0.981593,0.0,67.77,1.00639,0.20127799999999998,216.92,1.00528,1.00528,1.132238,1.132238
26,2016-11-11,119.45,1.14823,0.9185840000000001,119.02,0.924499,0.0,754.02,0.9706,0.0,87.97,1.30636,0.261272,216.42,1.00297,1.00297,1.179856,1.179856
27,2016-11-14,120.68,1.16005,0.9280400000000001,115.08,0.893895,0.0,736.08,0.947507,0.0,83.64,1.24206,0.248412,216.59,1.00375,1.00375,1.176452,1.176452
28,2016-11-15,120.91,1.16226,0.9298080000000001,117.2,0.910362,0.0,758.49,0.976354,0.0,86.19,1.27992,0.255984,218.28,1.01159,1.01159,1.1857920000000002,1.1857920000000002
29,2016-11-16,119.69,1.15053,0.9204240000000001,116.34,0.903682,0.0,764.48,0.984064,0.0,91.63,1.36071,0.27214200000000005,217.87,1.00969,1.00969,1.1925660000000002,1.1925660000000002
30,2016-11-17,122.08,1.17351,0.9388080000000001,117.79,0.914945,0.0,771.23,0.992753,0.0,92.39,1.37199,0.27439800000000003,218.99,1.01488,1.01488,1.213206,1.213206
31,2016-11-18,121.97,1.17245,0.93796,117.02,0.908964,0.0,760.54,0.978992,0.0,93.36,1.3864,0.27728,218.5,1.01261,1.01261,1.21524,1.21524
32,2016-11-21,124.16,1.1935,0.9548000000000001,121.77,0.94586,0.0,769.2,0.99014,0.0,92.98,1.38075,0.27615,220.15,1.02025,1.02025,1.23095,1.23095
33,2016-11-22,120.97,1.16284,0.9302720000000001,121.47,0.94353,0.0,768.27,0.988943,0.0,93.65,1.3907,0.27814,220.58,1.02224,1.02224,1.208412,1.208412
34,2016-11-23,120.85,1.16168,0.9293440000000001,120.84,0.938636,0.0,760.99,0.979572,0.0,93.97,1.39546,0.279092,220.7,1.0228,1.0228,1.208436,1.208436
35,2016-11-25,121.06,1.1637,0.93096,120.38,0.935063,0.0,761.68,0.98046,0.0,94.16,1.39828,0.279656,221.52,1.0266,1.0266,1.210616,1.210616
36,2016-11-28,120.3,1.1564,0.9251200000000002,120.41,0.935296,0.0,768.24,0.988904,0.0,94.11,1.39753,0.279506,220.48,1.02178,1.02178,1.2046260000000002,1.2046260000000002
37,2016-11-29,122.13,1.17399,0.9391920000000001,120.87,0.938869,0.0,770.84,0.992251,0.0,93.25,1.38476,0.27695200000000003,220.91,1.02377,1.02377,1.2161440000000001,1.2161440000000001
38,2016-11-30,118.51,1.13919,0.9113519999999999,118.42,0.919838,0.0,758.04,0.975774,0.0,92.2,1.36917,0.273834,220.38,1.02132,1.02132,1.1851859999999999,1.1851859999999999
39,2016-12-01,118.87,1.14265,0.91412,115.1,0.89405,0.0,747.92,0.962747,0.0,87.64,1.30146,0.260292,219.57,1.01756,1.01756,1.174412,1.174412
40,2016-12-02,117.63,1.13073,0.904584,115.4,0.89638,0.0,750.5,0.966069,0.0,88.45,1.31348,0.262696,219.68,1.01807,1.01807,1.16728,1.16728
41,2016-12-05,116.56,1.12045,0.89636,117.43,0.912148,0.0,762.52,0.981541,0.0,91.88,1.36442,0.272884,221.0,1.02419,1.02419,1.169244,1.169244
42,2016-12-06,117.39,1.12842,0.902736,117.31,0.911216,0.0,759.11,0.977152,0.0,93.39,1.38684,0.277368,221.7,1.02744,1.02744,1.180104,1.180104
43,2016-12-07,112.66,1.08296,0.866368,117.95,0.916188,0.0,771.19,0.992701,0.0,95.07,1.41179,0.28235800000000005,224.6,1.04087,1.04087,1.1487260000000001,1.1487260000000001
44,2016-12-08,113.06,1.0868,0.86944,118.91,0.923645,0.0,776.42,0.999434,0.0,93.48,1.38818,0.277636,225.15,1.04342,1.04342,1.147076,1.147076
45,2016-12-09,113.47,1.09074,0.872592,119.68,0.929626,0.0,789.29,1.016,0.0,91.82,1.36353,0.272706,226.51,1.04973,1.04973,1.145298,1.145298
46,2016-12-12,113.22,1.08834,0.8706720000000001,117.77,0.914789,0.0,789.27,1.01597,0.0,89.59,1.33041,0.26608200000000004,226.25,1.04852,1.04852,1.1367540000000003,1.1367540000000003
47,2016-12-13,115.09,1.10632,0.8850560000000001,120.31,0.934519,0.0,796.1,1.02477,0.0,91.17,1.35388,0.270776,227.76,1.05552,1.05552,1.1558320000000002,1.1558320000000002
48,2016-12-14,115.83,1.11343,0.890744,120.21,0.933742,0.0,797.07,1.02602,0.0,96.45,1.43228,0.286456,225.88,1.04681,1.04681,1.1772,1.1772
49,2016-12-15,117.18,1.12641,0.9011279999999999,120.57,0.936539,0.0,797.85,1.02702,0.0,98.71,1.46584,0.29316800000000004,226.81,1.05112,1.05112,1.194296,1.194296
50,2016-12-16,116.62,1.12102,0.896816,119.87,0.931101,0.0,790.8,1.01794,0.0,100.41,1.49109,0.29821800000000004,225.04,1.04291,1.04291,1.195034,1.195034
